station_id,s_no,battery_status,status_timestamp,weather
1,5074,high,1715851244603,"{'humidity': 23, 'temperature': 73, 'wind_speed': 37}"
1,5075,high,1715851244606,"{'humidity': 45, 'temperature': -7, 'wind_speed': 11}"
1,5077,medium,1715851244610,"{'humidity': 13, 'temperature': 15, 'wind_speed': 10}"
1,5078,low,1715851244612,"{'humidity': 0, 'temperature': -16, 'wind_speed': 26}"
1,5081,low,1715851244618,"{'humidity': 1, 'temperature': 63, 'wind_speed': 33}"
1,5083,low,1715851244623,"{'humidity': 77, 'temperature': 89, 'wind_speed': 6}"
1,5084,high,1715851244625,"{'humidity': 0, 'temperature': 57, 'wind_speed': 24}"
1,5085,medium,1715851244627,"{'humidity': 40, 'temperature': 79, 'wind_speed': 34}"
1,5086,medium,1715851244629,"{'humidity': 60, 'temperature': -24, 'wind_speed': 7}"
1,5088,low,1715851244633,"{'humidity': 45, 'temperature': -11, 'wind_speed': 33}"
1,5089,high,1715851244635,"{'humidity': 17, 'temperature': 99, 'wind_speed': 35}"
1,5090,low,1715851244637,"{'humidity': 59, 'temperature': -36, 'wind_speed': 31}"
1,5091,high,1715851244639,"{'humidity': 99, 'temperature': 94, 'wind_speed': 45}"
1,5092,low,1715851244642,"{'humidity': 36, 'temperature': 1, 'wind_speed': 38}"
1,5093,low,1715851244644,"{'humidity': 14, 'temperature': 83, 'wind_speed': 10}"
1,5094,low,1715851244646,"{'humidity': 80, 'temperature': 8, 'wind_speed': 21}"
1,5095,medium,1715851244648,"{'humidity': 56, 'temperature': -37, 'wind_speed': 44}"
1,5096,medium,1715851244650,"{'humidity': 56, 'temperature': 78, 'wind_speed': 29}"
1,5097,medium,1715851244652,"{'humidity': 36, 'temperature': 24, 'wind_speed': 38}"
1,5098,medium,1715851244655,"{'humidity': 80, 'temperature': -39, 'wind_speed': 6}"
1,5099,medium,1715851244657,"{'humidity': 86, 'temperature': 2, 'wind_speed': 6}"
1,5100,medium,1715851244659,"{'humidity': 19, 'temperature': -33, 'wind_speed': 28}"
1,5101,high,1715851244661,"{'humidity': 55, 'temperature': 82, 'wind_speed': 24}"
1,5102,high,1715851244663,"{'humidity': 4, 'temperature': 21, 'wind_speed': 4}"
1,5103,low,1715851244665,"{'humidity': 96, 'temperature': 100, 'wind_speed': 5}"
1,5104,high,1715851244667,"{'humidity': 91, 'temperature': 41, 'wind_speed': 12}"
1,5105,medium,1715851244669,"{'humidity': 30, 'temperature': -40, 'wind_speed': 20}"
1,5106,medium,1715851244672,"{'humidity': 1, 'temperature': 36, 'wind_speed': 0}"
1,5107,low,1715851244674,"{'humidity': 46, 'temperature': 39, 'wind_speed': 2}"
1,5108,low,1715851244676,"{'humidity': 70, 'temperature': 93, 'wind_speed': 3}"
1,5109,low,1715851244678,"{'humidity': 87, 'temperature': 59, 'wind_speed': 15}"
1,5110,low,1715851244680,"{'humidity': 18, 'temperature': 39, 'wind_speed': 43}"
1,5111,high,1715851244682,"{'humidity': 1, 'temperature': 54, 'wind_speed': 1}"
1,5112,high,1715851244684,"{'humidity': 26, 'temperature': 13, 'wind_speed': 49}"
1,5113,medium,1715851244686,"{'humidity': 9, 'temperature': 23, 'wind_speed': 26}"
1,5114,high,1715851244689,"{'humidity': 75, 'temperature': 85, 'wind_speed': 12}"
1,5115,medium,1715851244691,"{'humidity': 5, 'temperature': -39, 'wind_speed': 16}"
1,5116,medium,1715851244693,"{'humidity': 2, 'temperature': 91, 'wind_speed': 38}"
1,5117,medium,1715851244695,"{'humidity': 43, 'temperature': 22, 'wind_speed': 14}"
1,5118,high,1715851244697,"{'humidity': 18, 'temperature': 101, 'wind_speed': 48}"
1,5119,high,1715851244699,"{'humidity': 89, 'temperature': 28, 'wind_speed': 17}"
1,5120,low,1715851244701,"{'humidity': 33, 'temperature': 80, 'wind_speed': 42}"
1,5121,medium,1715851244703,"{'humidity': 82, 'temperature': 83, 'wind_speed': 34}"
1,5122,high,1715851244706,"{'humidity': 73, 'temperature': 87, 'wind_speed': 41}"
1,5125,low,1715851244712,"{'humidity': 88, 'temperature': 55, 'wind_speed': 16}"
1,5126,low,1715851244714,"{'humidity': 23, 'temperature': 12, 'wind_speed': 39}"
1,5127,medium,1715851244716,"{'humidity': 8, 'temperature': 25, 'wind_speed': 38}"
1,5128,medium,1715851244718,"{'humidity': 47, 'temperature': 12, 'wind_speed': 2}"
1,5129,high,1715851244721,"{'humidity': 63, 'temperature': 19, 'wind_speed': 17}"
1,5130,medium,1715851244723,"{'humidity': 20, 'temperature': -12, 'wind_speed': 49}"
1,5131,medium,1715851244725,"{'humidity': 76, 'temperature': 73, 'wind_speed': 4}"
1,5132,low,1715851244727,"{'humidity': 28, 'temperature': 57, 'wind_speed': 3}"
1,5133,low,1715851244729,"{'humidity': 60, 'temperature': -37, 'wind_speed': 19}"
1,5134,medium,1715851244732,"{'humidity': 0, 'temperature': -10, 'wind_speed': 39}"
1,5135,high,1715851244734,"{'humidity': 83, 'temperature': -21, 'wind_speed': 46}"
1,5136,medium,1715851244736,"{'humidity': 96, 'temperature': -20, 'wind_speed': 30}"
1,5138,medium,1715851244740,"{'humidity': 68, 'temperature': 11, 'wind_speed': 45}"
1,5139,medium,1715851244742,"{'humidity': 36, 'temperature': 66, 'wind_speed': 25}"
1,5140,high,1715851244744,"{'humidity': 39, 'temperature': -33, 'wind_speed': 24}"
1,5141,high,1715851244747,"{'humidity': 90, 'temperature': 88, 'wind_speed': 43}"
1,5142,medium,1715851244749,"{'humidity': 4, 'temperature': 20, 'wind_speed': 36}"
1,5143,medium,1715851244751,"{'humidity': 59, 'temperature': 8, 'wind_speed': 47}"
1,5144,medium,1715851244753,"{'humidity': 0, 'temperature': 77, 'wind_speed': 44}"
1,5145,high,1715851244755,"{'humidity': 25, 'temperature': 21, 'wind_speed': 27}"
1,5146,medium,1715851244757,"{'humidity': 4, 'temperature': -37, 'wind_speed': 9}"
1,5147,medium,1715851244759,"{'humidity': 85, 'temperature': 79, 'wind_speed': 41}"
1,5148,medium,1715851244762,"{'humidity': 17, 'temperature': 82, 'wind_speed': 29}"
1,5149,medium,1715851244764,"{'humidity': 92, 'temperature': 65, 'wind_speed': 35}"
1,5150,high,1715851244766,"{'humidity': 86, 'temperature': 23, 'wind_speed': 4}"
1,5151,medium,1715851244768,"{'humidity': 21, 'temperature': 52, 'wind_speed': 2}"
1,5152,low,1715851244770,"{'humidity': 94, 'temperature': -1, 'wind_speed': 48}"
1,5153,high,1715851244772,"{'humidity': 84, 'temperature': -23, 'wind_speed': 23}"
1,5154,low,1715851244774,"{'humidity': 41, 'temperature': -25, 'wind_speed': 19}"
1,5155,high,1715851244776,"{'humidity': 15, 'temperature': 30, 'wind_speed': 48}"
1,5156,medium,1715851244779,"{'humidity': 22, 'temperature': -22, 'wind_speed': 23}"
1,5157,medium,1715851244781,"{'humidity': 53, 'temperature': 31, 'wind_speed': 6}"
1,5158,high,1715851244783,"{'humidity': 57, 'temperature': -16, 'wind_speed': 19}"
1,5159,high,1715851244785,"{'humidity': 85, 'temperature': 88, 'wind_speed': 41}"
1,5161,low,1715851244789,"{'humidity': 72, 'temperature': 38, 'wind_speed': 17}"
1,5162,low,1715851244792,"{'humidity': 79, 'temperature': 98, 'wind_speed': 15}"
1,5163,low,1715851244794,"{'humidity': 13, 'temperature': 8, 'wind_speed': 47}"
1,5164,medium,1715851244796,"{'humidity': 71, 'temperature': 98, 'wind_speed': 14}"
1,5165,medium,1715851244798,"{'humidity': 66, 'temperature': -24, 'wind_speed': 1}"
1,5166,medium,1715851244800,"{'humidity': 63, 'temperature': 21, 'wind_speed': 4}"
1,5167,high,1715851244802,"{'humidity': 5, 'temperature': 91, 'wind_speed': 7}"
1,5168,medium,1715851244805,"{'humidity': 2, 'temperature': 45, 'wind_speed': 4}"
1,5169,medium,1715851244807,"{'humidity': 57, 'temperature': 70, 'wind_speed': 35}"
1,5170,medium,1715851244809,"{'humidity': 49, 'temperature': 66, 'wind_speed': 13}"
1,5171,medium,1715851244811,"{'humidity': 90, 'temperature': 80, 'wind_speed': 0}"
1,5172,high,1715851244813,"{'humidity': 20, 'temperature': 69, 'wind_speed': 0}"
1,5173,medium,1715851244815,"{'humidity': 34, 'temperature': 27, 'wind_speed': 8}"
1,5174,medium,1715851244817,"{'humidity': 94, 'temperature': 92, 'wind_speed': 0}"
1,5176,medium,1715851244822,"{'humidity': 16, 'temperature': 64, 'wind_speed': 12}"
1,5177,high,1715851244824,"{'humidity': 75, 'temperature': -3, 'wind_speed': 22}"
1,5178,low,1715851244826,"{'humidity': 77, 'temperature': 46, 'wind_speed': 3}"
1,5179,low,1715851244828,"{'humidity': 64, 'temperature': 33, 'wind_speed': 39}"
1,5180,medium,1715851244831,"{'humidity': 86, 'temperature': 82, 'wind_speed': 42}"
1,5181,medium,1715851244833,"{'humidity': 23, 'temperature': -31, 'wind_speed': 31}"
1,5182,low,1715851244835,"{'humidity': 46, 'temperature': 15, 'wind_speed': 31}"
1,5183,medium,1715851244837,"{'humidity': 29, 'temperature': 86, 'wind_speed': 0}"
1,5184,low,1715851244840,"{'humidity': 1, 'temperature': 22, 'wind_speed': 11}"
1,5185,medium,1715851244842,"{'humidity': 61, 'temperature': 90, 'wind_speed': 13}"
1,5186,low,1715851244844,"{'humidity': 41, 'temperature': 1, 'wind_speed': 26}"
1,5187,medium,1715851244847,"{'humidity': 53, 'temperature': 82, 'wind_speed': 8}"
1,5188,high,1715851244849,"{'humidity': 45, 'temperature': 74, 'wind_speed': 40}"
1,5189,low,1715851244851,"{'humidity': 96, 'temperature': 61, 'wind_speed': 34}"
1,5190,medium,1715851244854,"{'humidity': 23, 'temperature': -23, 'wind_speed': 9}"
1,5191,low,1715851244857,"{'humidity': 39, 'temperature': -37, 'wind_speed': 28}"
1,5192,low,1715851244859,"{'humidity': 75, 'temperature': 55, 'wind_speed': 9}"
1,5193,high,1715851244862,"{'humidity': 17, 'temperature': 36, 'wind_speed': 10}"
1,5194,high,1715851244864,"{'humidity': 87, 'temperature': -25, 'wind_speed': 7}"
1,5195,low,1715851244866,"{'humidity': 73, 'temperature': 21, 'wind_speed': 35}"
1,5196,high,1715851244869,"{'humidity': 78, 'temperature': 46, 'wind_speed': 48}"
1,5197,high,1715851244871,"{'humidity': 71, 'temperature': -36, 'wind_speed': 46}"
1,5198,high,1715851244873,"{'humidity': 89, 'temperature': 69, 'wind_speed': 1}"
1,5199,medium,1715851244875,"{'humidity': 64, 'temperature': 41, 'wind_speed': 26}"
1,5200,low,1715851244878,"{'humidity': 88, 'temperature': 63, 'wind_speed': 39}"
1,5201,high,1715851244880,"{'humidity': 33, 'temperature': 93, 'wind_speed': 31}"
1,5202,low,1715851244882,"{'humidity': 89, 'temperature': 13, 'wind_speed': 36}"
1,5204,low,1715851244887,"{'humidity': 70, 'temperature': 83, 'wind_speed': 40}"
1,5205,low,1715851244889,"{'humidity': 54, 'temperature': -26, 'wind_speed': 2}"
1,5207,medium,1715851244893,"{'humidity': 28, 'temperature': 7, 'wind_speed': 46}"
1,5208,low,1715851244896,"{'humidity': 48, 'temperature': 26, 'wind_speed': 12}"
1,5209,medium,1715851244898,"{'humidity': 49, 'temperature': 34, 'wind_speed': 3}"
1,5210,high,1715851244900,"{'humidity': 14, 'temperature': 2, 'wind_speed': 8}"
1,5211,low,1715851244902,"{'humidity': 92, 'temperature': -15, 'wind_speed': 37}"
1,5212,low,1715851244904,"{'humidity': 20, 'temperature': -32, 'wind_speed': 41}"
1,5213,low,1715851244907,"{'humidity': 72, 'temperature': 11, 'wind_speed': 6}"
1,5214,low,1715851244909,"{'humidity': 50, 'temperature': 52, 'wind_speed': 13}"
1,5215,medium,1715851244911,"{'humidity': 44, 'temperature': -40, 'wind_speed': 20}"
1,5216,high,1715851244913,"{'humidity': 62, 'temperature': -39, 'wind_speed': 20}"
1,5217,high,1715851244915,"{'humidity': 19, 'temperature': -23, 'wind_speed': 33}"
1,5218,low,1715851244918,"{'humidity': 98, 'temperature': 58, 'wind_speed': 29}"
1,5219,medium,1715851244920,"{'humidity': 21, 'temperature': 62, 'wind_speed': 20}"
1,5220,medium,1715851244922,"{'humidity': 26, 'temperature': 76, 'wind_speed': 47}"
1,5221,medium,1715851244924,"{'humidity': 6, 'temperature': 22, 'wind_speed': 14}"
1,5222,medium,1715851244926,"{'humidity': 12, 'temperature': -22, 'wind_speed': 33}"
1,5223,high,1715851244928,"{'humidity': 73, 'temperature': -10, 'wind_speed': 2}"
1,5224,high,1715851244931,"{'humidity': 3, 'temperature': -36, 'wind_speed': 14}"
1,5225,low,1715851244933,"{'humidity': 20, 'temperature': -31, 'wind_speed': 35}"
1,5226,medium,1715851244935,"{'humidity': 13, 'temperature': 103, 'wind_speed': 26}"
1,5227,low,1715851244937,"{'humidity': 77, 'temperature': 19, 'wind_speed': 43}"
1,5228,medium,1715851244939,"{'humidity': 53, 'temperature': 34, 'wind_speed': 2}"
1,5229,low,1715851244942,"{'humidity': 12, 'temperature': -35, 'wind_speed': 44}"
1,5230,high,1715851244944,"{'humidity': 26, 'temperature': 74, 'wind_speed': 44}"
1,5231,high,1715851244946,"{'humidity': 61, 'temperature': -8, 'wind_speed': 1}"
1,5232,high,1715851244948,"{'humidity': 21, 'temperature': 23, 'wind_speed': 23}"
1,5233,low,1715851244950,"{'humidity': 90, 'temperature': 37, 'wind_speed': 5}"
1,5237,high,1715851244960,"{'humidity': 43, 'temperature': 63, 'wind_speed': 29}"
1,5238,medium,1715851244962,"{'humidity': 7, 'temperature': -20, 'wind_speed': 3}"
1,5239,low,1715851244964,"{'humidity': 30, 'temperature': 13, 'wind_speed': 37}"
1,5240,medium,1715851244967,"{'humidity': 93, 'temperature': -1, 'wind_speed': 44}"
1,5241,high,1715851244969,"{'humidity': 14, 'temperature': -39, 'wind_speed': 13}"
1,5242,medium,1715851244971,"{'humidity': 99, 'temperature': 43, 'wind_speed': 41}"
1,5243,medium,1715851244973,"{'humidity': 97, 'temperature': 5, 'wind_speed': 18}"
1,5246,medium,1715851244980,"{'humidity': 72, 'temperature': 24, 'wind_speed': 48}"
1,5247,low,1715851244982,"{'humidity': 96, 'temperature': 77, 'wind_speed': 0}"
1,5248,high,1715851244984,"{'humidity': 13, 'temperature': 43, 'wind_speed': 11}"
1,5249,high,1715851244987,"{'humidity': 65, 'temperature': 75, 'wind_speed': 38}"
1,5250,medium,1715851244989,"{'humidity': 33, 'temperature': 4, 'wind_speed': 3}"
1,5251,high,1715851244991,"{'humidity': 24, 'temperature': 102, 'wind_speed': 19}"
1,5252,medium,1715851244993,"{'humidity': 74, 'temperature': -12, 'wind_speed': 19}"
1,5253,medium,1715851244996,"{'humidity': 83, 'temperature': 79, 'wind_speed': 44}"
1,5254,medium,1715851244998,"{'humidity': 66, 'temperature': 72, 'wind_speed': 46}"
1,5255,low,1715851245000,"{'humidity': 49, 'temperature': -2, 'wind_speed': 23}"
1,5257,medium,1715851245004,"{'humidity': 57, 'temperature': -13, 'wind_speed': 29}"
1,5258,medium,1715851245007,"{'humidity': 2, 'temperature': 22, 'wind_speed': 43}"
1,5259,medium,1715851245009,"{'humidity': 93, 'temperature': 37, 'wind_speed': 14}"
1,5260,low,1715851245011,"{'humidity': 11, 'temperature': -15, 'wind_speed': 20}"
1,5261,high,1715851245013,"{'humidity': 5, 'temperature': 46, 'wind_speed': 10}"
1,5262,high,1715851245015,"{'humidity': 13, 'temperature': -38, 'wind_speed': 43}"
1,5263,medium,1715851245018,"{'humidity': 32, 'temperature': -19, 'wind_speed': 20}"
1,5264,high,1715851245020,"{'humidity': 58, 'temperature': 9, 'wind_speed': 36}"
1,5265,medium,1715851245022,"{'humidity': 30, 'temperature': -30, 'wind_speed': 3}"
1,5266,medium,1715851245024,"{'humidity': 4, 'temperature': -2, 'wind_speed': 27}"
1,5267,low,1715851245026,"{'humidity': 59, 'temperature': 12, 'wind_speed': 0}"
1,5268,medium,1715851245028,"{'humidity': 30, 'temperature': -39, 'wind_speed': 1}"
1,5269,high,1715851245030,"{'humidity': 89, 'temperature': 56, 'wind_speed': 37}"
1,5270,high,1715851245032,"{'humidity': 28, 'temperature': 28, 'wind_speed': 37}"
1,5271,high,1715851245035,"{'humidity': 52, 'temperature': 16, 'wind_speed': 13}"
1,5272,low,1715851245037,"{'humidity': 59, 'temperature': -30, 'wind_speed': 48}"
1,5273,medium,1715851245039,"{'humidity': 18, 'temperature': 6, 'wind_speed': 8}"
1,5274,medium,1715851245041,"{'humidity': 4, 'temperature': -19, 'wind_speed': 25}"
1,5275,medium,1715851245043,"{'humidity': 76, 'temperature': -17, 'wind_speed': 28}"
1,5276,high,1715851245045,"{'humidity': 13, 'temperature': 35, 'wind_speed': 45}"
1,5277,medium,1715851245047,"{'humidity': 30, 'temperature': 46, 'wind_speed': 22}"
1,5278,medium,1715851245050,"{'humidity': 49, 'temperature': -17, 'wind_speed': 17}"
1,5279,low,1715851245052,"{'humidity': 48, 'temperature': 58, 'wind_speed': 39}"
1,5280,medium,1715851245054,"{'humidity': 82, 'temperature': 66, 'wind_speed': 36}"
1,5281,medium,1715851245056,"{'humidity': 67, 'temperature': 100, 'wind_speed': 45}"
1,5282,low,1715851245058,"{'humidity': 25, 'temperature': -27, 'wind_speed': 20}"
1,5283,medium,1715851245060,"{'humidity': 49, 'temperature': -2, 'wind_speed': 9}"
1,5284,low,1715851245062,"{'humidity': 68, 'temperature': 7, 'wind_speed': 31}"
1,5285,low,1715851245064,"{'humidity': 79, 'temperature': 43, 'wind_speed': 20}"
1,5286,high,1715851245067,"{'humidity': 74, 'temperature': 70, 'wind_speed': 46}"
1,5287,high,1715851245069,"{'humidity': 46, 'temperature': 6, 'wind_speed': 31}"
1,5288,medium,1715851245071,"{'humidity': 72, 'temperature': 24, 'wind_speed': 32}"
1,5289,low,1715851245073,"{'humidity': 82, 'temperature': 28, 'wind_speed': 32}"
1,5291,high,1715851245078,"{'humidity': 16, 'temperature': 96, 'wind_speed': 20}"
1,5292,low,1715851245080,"{'humidity': 76, 'temperature': 47, 'wind_speed': 33}"
1,5293,high,1715851245083,"{'humidity': 89, 'temperature': 20, 'wind_speed': 26}"
1,5294,high,1715851245085,"{'humidity': 10, 'temperature': 102, 'wind_speed': 47}"
1,5295,high,1715851245087,"{'humidity': 85, 'temperature': 11, 'wind_speed': 18}"
1,5296,medium,1715851245089,"{'humidity': 68, 'temperature': -40, 'wind_speed': 22}"
1,5297,medium,1715851245091,"{'humidity': 16, 'temperature': 56, 'wind_speed': 30}"
1,5298,high,1715851245093,"{'humidity': 14, 'temperature': 29, 'wind_speed': 38}"
1,5299,high,1715851245096,"{'humidity': 88, 'temperature': 25, 'wind_speed': 30}"
1,5300,low,1715851245098,"{'humidity': 5, 'temperature': 72, 'wind_speed': 5}"
1,5301,medium,1715851245100,"{'humidity': 71, 'temperature': 23, 'wind_speed': 37}"
1,5302,low,1715851245102,"{'humidity': 56, 'temperature': 22, 'wind_speed': 41}"
1,5303,low,1715851245104,"{'humidity': 13, 'temperature': 70, 'wind_speed': 18}"
1,5304,medium,1715851245106,"{'humidity': 54, 'temperature': -7, 'wind_speed': 17}"
1,5305,medium,1715851245108,"{'humidity': 22, 'temperature': 12, 'wind_speed': 17}"
1,5307,low,1715851245113,"{'humidity': 80, 'temperature': -27, 'wind_speed': 5}"
1,5308,low,1715851245115,"{'humidity': 88, 'temperature': 16, 'wind_speed': 1}"
1,5309,high,1715851245117,"{'humidity': 56, 'temperature': 47, 'wind_speed': 26}"
1,5310,medium,1715851245119,"{'humidity': 84, 'temperature': 46, 'wind_speed': 46}"
1,5311,low,1715851245121,"{'humidity': 12, 'temperature': 82, 'wind_speed': 37}"
